Time,data
1715272152.658202,-1.78125
1715272152.6675801,-2.078125
1715272152.6773877,-1.78125
1715272152.6874168,-1.6796875
1715272152.697396,-1.87890625
1715272152.7074194,-1.87890625
1715272152.7174392,-1.87890625
1715272152.727501,-1.9765625
1715272152.737416,-2.2734375
1715272152.7475753,-1.6796875
1715272152.7580206,-1.58203125
1715272152.7674,-2.078125
1715272152.7774081,-1.78125
1715272152.7874005,-1.484375
1715272152.7973804,-1.9765625
1715272152.807441,-1.9765625
1715272152.8176222,-1.58203125
1715272152.8274045,-1.87890625
1715272152.837494,-1.58203125
1715272152.8474212,-1.78125
1715272152.858,-1.9765625
1715272152.8677058,-1.78125
1715272152.8774433,-1.58203125
1715272152.8875651,-1.484375
1715272152.8974602,-1.78125
1715272152.907632,-1.6796875
1715272152.9176161,-1.484375
1715272152.9274566,-2.2734375
1715272152.9376183,-1.484375
1715272152.9476757,-1.6796875
1715272152.9577398,-1.9765625
1715272152.9675202,-1.78125
1715272152.9774494,-1.87890625
1715272152.987432,-1.58203125
1715272152.9976127,-1.9765625
1715272153.0074265,-1.9765625
1715272153.0176134,-2.078125
1715272153.0276418,-1.87890625
1715272153.0376437,-1.87890625
1715272153.0474901,-1.58203125
1715272153.0576932,-1.6796875
1715272153.0675926,-1.87890625
1715272153.0775633,-1.9765625
1715272153.0874567,-1.9765625
1715272153.0976536,-1.58203125
1715272153.1074548,-1.78125
1715272153.1176622,-1.6796875
1715272153.1274436,-1.78125
1715272153.137457,-1.9765625
1715272153.1474457,-2.078125
1715272153.158227,-1.78125
1715272153.1675591,-1.78125
1715272153.1774042,-1.9765625
1715272153.187444,-1.87890625
1715272153.1976104,-1.78125
1715272153.2077527,-1.78125
1715272153.2174644,-1.78125
1715272153.227591,-1.9765625
1715272153.2376654,-1.78125
1715272153.2474453,-1.78125
1715272153.257821,-1.58203125
1715272153.2675083,-1.9765625
1715272153.2774603,-1.6796875
1715272153.2876241,-1.6796875
1715272153.2974408,-1.78125
1715272153.3074229,-1.87890625
1715272153.3176816,-1.78125
1715272153.3274512,-1.78125
1715272153.337645,-2.078125
1715272153.3476775,-1.87890625
1715272153.35799,-1.9765625
1715272153.3676233,-1.87890625
1715272153.3774548,-1.78125
1715272153.387636,-1.78125
1715272153.3976893,-1.38671875
1715272153.407437,-1.9765625
1715272153.4176319,-2.17578125
1715272153.427411,-1.6796875
1715272153.4376042,-2.078125
1715272153.4477875,-1.87890625
1715272153.4580073,-1.78125
1715272153.4676774,-1.78125
1715272153.4774988,-2.078125
1715272153.4877381,-1.87890625
1715272153.4975696,-2.2734375
1715272153.50763,-1.9765625
1715272153.517817,-1.6796875
1715272153.527707,-1.78125
1715272153.5377274,-1.78125
1715272153.5476356,-1.78125
1715272153.5581167,-1.78125
1715272153.5677364,-1.484375
1715272153.5774436,-2.078125
1715272153.587535,-1.78125
